date,sales
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.2
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.1
31-07-19,0.2
01-08-19,0.2
01-08-19,0.1
01-08-19,0.1
01-08-19,0.2
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.2
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.3
01-08-19,0.1
01-08-19,0.1
01-08-19,0.2
01-08-19,0.3
01-08-19,0
01-08-19,0.8
01-08-19,0.1
01-08-19,0.5
01-08-19,0.2
01-08-19,0.1
01-08-19,0.1
01-08-19,0.1
01-08-19,0.2
02-08-19,0.1
02-08-19,0.4
02-08-19,1
02-08-19,0.1
02-08-19,0.1
02-08-19,0.1
02-08-19,0.4
02-08-19,0.3
02-08-19,0.5
02-08-19,0.1
02-08-19,0.3
02-08-19,0.1
02-08-19,0.2
02-08-19,0.1
02-08-19,0.4
02-08-19,0.1
02-08-19,0.1
03-08-19,0.1
03-08-19,0
03-08-19,0.2
03-08-19,0.2
03-08-19,0.2
03-08-19,0.2
03-08-19,0.1
03-08-19,0.2
03-08-19,0.3
04-08-19,0
05-08-19,0.7
05-08-19, -   
05-08-19,0.1
05-08-19,0.4
05-08-19,0.1
05-08-19,0.1
05-08-19,0.1
05-08-19,0.3
05-08-19,0.3
05-08-19,0.2
05-08-19,1.3
05-08-19,0.3
05-08-19,0.1
05-08-19,0.1
05-08-19,0.4
05-08-19,0.1
05-08-19,0.4
05-08-19,0.5
05-08-19,0.1
05-08-19,0.1
05-08-19,0.1
06-08-19,0.1
06-08-19,0.1
06-08-19,2
06-08-19,0
06-08-19,0.2
06-08-19,0.3
06-08-19,0.1
06-08-19,0.1
06-08-19,0.1
06-08-19,0.2
06-08-19,0.2
06-08-19,0.2
06-08-19,0.1
06-08-19,0.3
06-08-19,0.1
06-08-19,0.2
06-08-19,0.2
06-08-19,0.2
06-08-19,0.6
06-08-19,0.3
06-08-19,0.2
06-08-19,1
06-08-19,0.8
07-08-19,0.3
07-08-19,0.1
07-08-19,0.4
07-08-19,0.5
07-08-19,0.2
07-08-19,0.3
07-08-19,0.1
07-08-19,0.1
07-08-19,0.1
07-08-19,0
07-08-19,0.1
07-08-19,0.3
07-08-19,0.1
07-08-19,0.2
07-08-19,0.2
07-08-19,0.1
07-08-19,0.1
08-08-19,0
08-08-19,0.1
08-08-19,0.1
08-08-19,0.1
08-08-19,0.2
08-08-19,0.3
08-08-19,0.1
08-08-19,0.3
08-08-19,0.2
08-08-19,0.1
08-08-19,0.1
08-08-19,0.3
